WSI Path,XML Path,WSI Name,Folder Name
D:\AIN3007_project\train_valid_data\Breast2__he\51.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\51.xml,51,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\256.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\256.xml,256,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\167.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\167.xml,167,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\144.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\144.xml,144,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\66.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\66.xml,66,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\480.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\480.xml,480,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\141.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\141.xml,141,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\73.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\73.xml,73,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\487.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\487.xml,487,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\42.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\42.xml,42,Breast2__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-E9-A1R2-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-E9-A1R2-01Z-00-DX1.xml,TCGA-E9-A1R2-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-D8-A1JF-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-D8-A1JF-01Z-00-DX1.xml,TCGA-D8-A1JF-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-AC-A3W5-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-AC-A3W5-01Z-00-DX1.xml,TCGA-AC-A3W5-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-AR-A1AT-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-AR-A1AT-01Z-00-DX1.xml,TCGA-AR-A1AT-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-D8-A3Z5-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-D8-A3Z5-01Z-00-DX1.xml,TCGA-D8-A3Z5-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-A8-A06O-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-A8-A06O-01Z-00-DX1.xml,TCGA-A8-A06O-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-BH-A0H0-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-BH-A0H0-01Z-00-DX1.xml,TCGA-BH-A0H0-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-E9-A247-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-E9-A247-01Z-00-DX1.xml,TCGA-E9-A247-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-E9-A1RG-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-E9-A1RG-01Z-00-DX1.xml,TCGA-E9-A1RG-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-AC-A2B8-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-AC-A2B8-01Z-00-DX1.xml,TCGA-AC-A2B8-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-B6-A0RQ-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-B6-A0RQ-01Z-00-DX1.xml,TCGA-B6-A0RQ-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-A8-A08X-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-A8-A08X-01Z-00-DX1.xml,TCGA-A8-A08X-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-E2-A15G-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-E2-A15G-01Z-00-DX1.xml,TCGA-E2-A15G-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-AR-A24Q-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-AR-A24Q-01Z-00-DX1.xml,TCGA-AR-A24Q-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-E2-A1BC-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-E2-A1BC-01Z-00-DX1.xml,TCGA-E2-A1BC-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-C8-A12M-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-C8-A12M-01Z-00-DX1.xml,TCGA-C8-A12M-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-BH-A18L-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-BH-A18L-01Z-00-DX1.xml,TCGA-BH-A18L-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-BH-A0DE-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-BH-A0DE-01Z-00-DX1.xml,TCGA-BH-A0DE-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-A8-A0A1-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-A8-A0A1-01Z-00-DX1.xml,TCGA-A8-A0A1-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-C8-A27B-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-C8-A27B-01Z-00-DX1.xml,TCGA-C8-A27B-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-AR-A0TX-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-AR-A0TX-01Z-00-DX1.xml,TCGA-AR-A0TX-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-BH-A0C3-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-BH-A0C3-01Z-00-DX1.xml,TCGA-BH-A0C3-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-BH-A1EU-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-BH-A1EU-01Z-00-DX1.xml,TCGA-BH-A1EU-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-A1-A0SM-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-A1-A0SM-01Z-00-DX1.xml,TCGA-A1-A0SM-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-AO-A0J5-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-AO-A0J5-01Z-00-DX1.xml,TCGA-AO-A0J5-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-A2-A3XV-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-A2-A3XV-01Z-00-DX1.xml,TCGA-A2-A3XV-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-BH-A0BT-01Z-00-DX1.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-BH-A0BT-01Z-00-DX1.xml,TCGA-BH-A0BT-01Z-00-DX1,Breast1__he
D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-D8-A1XS-01Z-00-DX2.svs,D:\AIN3007_project\train_valid_data\Breast1__he\TCGA-D8-A1XS-01Z-00-DX2.xml,TCGA-D8-A1XS-01Z-00-DX2,Breast1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_091_node_3.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_091_node_3.xml,patient_091_node_3,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_064_node_0.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_064_node_0.xml,patient_064_node_0,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_052_node_0.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_052_node_0.xml,patient_052_node_0,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_063_node_1.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_063_node_1.xml,patient_063_node_1,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_006_node_0.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_006_node_0.xml,patient_006_node_0,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_002_node_1.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_002_node_1.xml,patient_002_node_1,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_055_node_0.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_055_node_0.xml,patient_055_node_0,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_061_node_0.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_061_node_0.xml,patient_061_node_0,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_081_node_1.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_081_node_1.xml,patient_081_node_1,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_066_node_0.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_066_node_0.xml,patient_066_node_0,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_047_node_2.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_047_node_2.xml,patient_047_node_2,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_090_node_0.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_090_node_0.xml,patient_090_node_0,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_074_node_0.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_074_node_0.xml,patient_074_node_0,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_084_node_3.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_084_node_3.xml,patient_084_node_3,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_098_node_0.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_098_node_0.xml,patient_098_node_0,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_076_node_0.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_076_node_0.xml,patient_076_node_0,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_096_node_0.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_096_node_0.xml,patient_096_node_0,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_092_node_0.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_092_node_0.xml,patient_092_node_0,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_097_node_0.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_097_node_0.xml,patient_097_node_0,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_070_node_0.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_070_node_0.xml,patient_070_node_0,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_075_node_0.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_075_node_0.xml,patient_075_node_0,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_059_node_0.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_059_node_0.xml,patient_059_node_0,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_053_node_0.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_053_node_0.xml,patient_053_node_0,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_082_node_0.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_082_node_0.xml,patient_082_node_0,LymphNode1__he
D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_078_node_0.tif,D:\AIN3007_project\train_valid_data\LymphNode1__he\patient_078_node_0.xml,patient_078_node_0,LymphNode1__he
D:\AIN3007_project\train_valid_data\Breast3__ihc\58_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\58_HER2.xml,58_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\05_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\05_HER2.xml,05_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\65_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\65_HER2.xml,65_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\79_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\79_HER2.xml,79_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\54_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\54_HER2.xml,54_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\15_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\15_HER2.xml,15_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\55_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\55_HER2.xml,55_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\42_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\42_HER2.xml,42_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\40_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\40_HER2.xml,40_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\28_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\28_HER2.xml,28_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\32_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\32_HER2.xml,32_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\56_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\56_HER2.xml,56_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\75_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\75_HER2.xml,75_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\10_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\10_HER2.xml,10_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\04_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\04_HER2.xml,04_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\47_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\47_HER2.xml,47_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\25_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\25_HER2.xml,25_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\83_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\83_HER2.xml,83_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\64_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\64_HER2.xml,64_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\77_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\77_HER2.xml,77_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\41_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\41_HER2.xml,41_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\17_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\17_HER2.xml,17_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\51_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\51_HER2.xml,51_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\44_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\44_HER2.xml,44_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\87_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\87_HER2.xml,87_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\81_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\81_HER2.xml,81_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\52_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\52_HER2.xml,52_HER2,Breast3__ihc
D:\AIN3007_project\train_valid_data\Breast3__ihc\73_HER2.ndpi,D:\AIN3007_project\train_valid_data\Breast3__ihc\73_HER2.xml,73_HER2,Breast3__ihc
